파일명,지역,서비스,no_master_region,no_master_slug,canonical,title,description,h1,faq,breadcrumb,robots,og_url,html_closed,no_broken_internal_links,깨진링크
bucheon-drain.html,부천,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
bucheon-sink.html,부천,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
bucheon-toilet.html,부천,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
cheoin-drain.html,처인구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
cheoin-sink.html,처인구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
cheoin-toilet.html,처인구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
cheongwon-drain.html,청원구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
cheongwon-sink.html,청원구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
cheongwon-toilet.html,청원구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
daedeok-drain.html,대덕구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
daedeok-sink.html,대덕구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
daedeok-toilet.html,대덕구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dalseo-drain.html,달서구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dalseo-sink.html,달서구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dalseo-toilet.html,달서구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
danwon-drain.html,단원구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
danwon-sink.html,단원구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
danwon-toilet.html,단원구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
deogyang-drain.html,덕양구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
deogyang-sink.html,덕양구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
deogyang-toilet.html,덕양구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
deokjin-drain.html,덕진구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
deokjin-sink.html,덕진구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
deokjin-toilet.html,덕진구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dobong-drain.html,도봉구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dobong-sink.html,도봉구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dobong-toilet.html,도봉구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongan-drain.html,동안구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongan-sink.html,동안구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongan-toilet.html,동안구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongdaemun-drain.html,동대문구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongdaemun-sink.html,동대문구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongdaemun-toilet.html,동대문구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongjak-drain.html,동작구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongjak-sink.html,동작구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongjak-toilet.html,동작구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongnae-drain.html,동래구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongnae-sink.html,동래구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongnae-toilet.html,동래구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongnam-drain.html,동남구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongnam-sink.html,동남구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
dongnam-toilet.html,동남구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
eunpyeong-drain.html,은평구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
eunpyeong-sink.html,은평구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
eunpyeong-toilet.html,은평구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gangbuk-drain.html,강북구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gangbuk-sink.html,강북구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gangbuk-toilet.html,강북구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gangdong-drain.html,강동구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gangdong-sink.html,강동구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gangdong-toilet.html,강동구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gangnam-drain.html,강남구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gangnam-sink.html,강남구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gangnam-toilet.html,강남구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
geumcheon-drain.html,금천구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
geumcheon-sink.html,금천구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
geumcheon-toilet.html,금천구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
geumjeong-drain.html,금정구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
geumjeong-sink.html,금정구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
geumjeong-toilet.html,금정구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
giheung-drain.html,기흥구,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
giheung-sink.html,기흥구,싱크대막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
giheung-toilet.html,기흥구,변기막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
gimhae-drain.html,김해,하수구막힘,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
